description,developer,early_access,game_id,orig_price,percent_pos,price,publisher,release_date,tag_list,title,total_reviews,vr_only,vr_pcinput,vr_supported
Hunt and kill as much zombies as you can. How long can you stay alive in the Snow Apocalypse?,nextjen,False,1270500,,N/A,$2.99 USD,nextjen,"15 Aug, 2020","Action,Adventure,Simulation,Action-Adventure,Character Action Game,Shooter,Survival,FPS,Hack and Slash,Horror,Indie,Violent,First-Person,Singleplayer",Snow Apocalypse,2,False,,False
"Grow an emblematic tree in each different world inspired by popular folklore (Brocéliandre forest, Native Americans, Vikings, Medieval Japan).",Touched By Grace,False,1102490,,N/A,$7.99 USD,Touched By Grace,"12 Nov, 2020","Board Game,Tabletop,Card Game,Nature,Management,Colorful,Resource Management,Casual,2D,Indie,Multiplayer,Singleplayer,PvP",The Tree,5,False,,False
"DASH between tiny, monster-infested planets on your journey to becoming the next Sun!",Blackthornprod,False,1240130,,95,$6.99 USD,Blackthornprod,"12 Nov, 2020","Indie,Colorful,Roguelike,Action,Action Roguelike,Fast-Paced,Roguelite,2D,Difficult,Replay Value,Adventure,Arcade,Cartoony,Cute,Minimalist,Stylized,Fantasy,Perma Death,Procedural Generation,Tutorial",Dashing Fire,66,False,,False
"Get yourself into and out of another fine mess! Win glory, renown, and much-needed money through cunning schemes that will seem like good ideas at the time.",Choice of Games,False,1393910,,97,$11.99 USD,Choice of Games,"12 Nov, 2020","RPG,Interactive Fiction,Text-Based,Choices Matter,Story Rich,Romance,Comedy,Character Customization,Funny,Indie,Conversation,Singleplayer,Multiple Endings,Choose Your Own Adventure",Jolly Good: Cakes and Ale,44,False,,False
"Dracula is ready to take over Europe and only four iconic vampire hunters can stop him, in this digital adaptation of the classic board game of deduction and gothic horror. Play locally with friends or with up to five players online. Will you be the hunter or the hunted?",Nomad Games,False,958530,,70,$7.29 USD,Nomad Games,"12 Nov, 2020","Strategy,Board Game,Horror,Vampire,Tabletop,Old School,Card Battler,Gothic,Grand Strategy,Atmospheric,Supernatural,2D,Hand-drawn,Historical,Mystery,Retro,Survival,Tactical,PvP,Combat",Fury of Dracula: Digital Edition,195,False,,False
"The Chase is a 2.5D racing game where you have to run from the cops, collect some cash, and do some missions. Unlock new cars and goofy characters",Mad Hook,False,1360820,,N/A,$0.99 USD,Mad Hook,"12 Nov, 2020","Racing,Action-Adventure,Combat Racing,2.5D,Driving,Singleplayer,Indie",The Chase,4,False,,False
"Journey through laboratories, forests and city ruins as you follow the story of Maia, a young woman who awakens with strange abilities. Discover the origins and mysteries of her powers as you experience the world of Wraithmind, a science fiction turn-based RPG.",TEKO,False,739820,,N/A,$2.99 USD,TEKO,"12 Nov, 2020","RPG,Adventure,Sci-fi,Party-Based RPG",Wraithmind,3,False,,False
"Challenge your friends and family virtually to our take on the classic Victorian game of Anagrams! Type in words to claim them from the pot or to steal from your fellow players. When all the tiles are flipped and no one can make another word, the player with the most words wins!",Noah Jaxon,False,1402960,,N/A,$5.99 USD,Noah Jaxon,"12 Nov, 2020","Casual,Puzzle,Board Game,Word Game,Education,Spelling,Typing,2D,Minimalist,Top-Down,Family Friendly,Tactical,PvP,Tabletop,Multiplayer,Singleplayer",Speedily,0,False,,False
Breathing Fear is a non-linear 2D horror game with survival elements. Solve all the secrets of the mysterious house and try not to go crazy with horror.,LunarPixel,False,1440840,,90,$1.99 USD,LunarPixel,"12 Nov, 2020","Adventure,Puzzle,Point & Click,Exploration,Side Scroller,Investigation,Choose Your Own Adventure,Horror,2D,Pixel Graphics,Atmospheric,Survival,Detective,Logic,Dark,Old School,Mystery,Nonlinear,Multiple Endings,Narration",Breathing Fear,10,False,,False
"Good old Rubik’s is back in a brand new shape! With professor Rubik’s, get your brain back on track in a new brain fitness game. He is ready to test you with fast and playful mini-games daily and see how much brain power you have!",Magic Pockets,False,1377890,,66,$9.99 USD,Magic Pockets,"12 Nov, 2020","Casual,Puzzle Platformer,Education,Trivia,3D,Minimalist,Family Friendly,Singleplayer,Local Multiplayer",Professor Rubik’s Brain Fitness,18,False,,False
"Ever dreamt of being a space potato? Now’s your chance! This is the prelude for Space Gladiators, a 2D hand-drawn roguelite platformer following a bunch of captives fighting their way out of a planet prison. Defeat hordes of aliens in the gladiatorial arenas and earn your freedom!",Blobfish,False,1433550,,87,Free To Play,Blobfish,"12 Nov, 2020","Action Roguelike,Hack and Slash,Dungeon Crawler,Roguelite,Perma Death,Platformer,Roguelike,2D,Action,Cute,Procedural Generation,Hand-drawn,Space,Sci-fi,Robots,Adventure,Futuristic,Singleplayer,Indie",Space Gladiators: The Hole,134,False,,False
Hero Swing VR is an adrenaline filled VR experience where players swing through the air in a skyscraper filled Megalopolis. Hero Swing features multiple game modes allowing players to simulate their own ultimate swinging hero experience.,Cubicle Interactive,True,1021890,,N/A,$12.99 USD,Cubicle Interactive,"12 Nov, 2020","Action,Indie,Early Access,Casual,Simulation,VR",Hero Swing VR,6,True,,False
Ape fights poachers in a 2D action game.,HUNTERS,False,1414380,,N/A,$3.99 USD,HUNTERS,"12 Nov, 2020","Action,Pixel Graphics,Retro,2D,Casual",Monty Kong,0,False,,False
"The game recreates the campaigns and battles of Erwin ‘Desert Fox’ Rommel’s legendary Afrika Korps, in Libya between 1941 and 1942. Play the Axis forces to conquer the most valuable prize of all: the Suez Canal. Or command the 8th Army soldiers, the famous Desert Rats, to repel the invaders.",Strategy Game Studio,False,1266640,,80,$12.49 USD,Strategy Game Studio,"12 Nov, 2020","Strategy,Simulation,Wargame,Turn-Based Strategy,Historical,World War II,2D,Alternate History,PvP,Turn-Based Combat,Singleplayer,Multiplayer,Epic,Indie,Retro",SGS Afrika Korps,67,False,,False
"Boreal Blade is a team-based melee fighting game with a focus on player vs player combat, combining reactive and tactical gameplay with extraordinary freedom to variate your attacks and develop your unique fighting style.",Frozenbyte,True,598780,,73,$2.49 USD,Frozenbyte,"12 Nov, 2020","Action,Swordplay,Competitive,Multiplayer,Character Customization,Medieval,Combat,Fantasy,PvP,Third Person,Tactical,Gore,3D Fighter,Violent,Team-Based,Beat 'em up,Early Access,Online Co-Op,Fighting,Free to Play",Boreal Blade,427,False,,False
"PC game with 2D graphics. The player controls the bat and must remove all blocks from the level using the ball, which he must not miss. Each of the 96 levels contains one verse of motivational poems. Can you clear all the blocks and get all the poems?",Dark Beast Game,False,1450070,,N/A,$1.99 USD,Dark Beast Game,"12 Nov, 2020","Casual,Arcade,Space,Education,Relaxing,2D,Singleplayer,Linear,Indie,Trivia",Dark Blocks,0,False,,False
As an Engineer - crew member of one of the first Mars colonies - you are responsible for repairing and maintaining Mars Rovers. In this advanced simulator you will learn the internal details of various Mars Rovers and their components.,▲ Pyramid Games,False,864680,,85,$6.59 USD,▲ Pyramid Games,"12 Nov, 2020","Simulation,Indie,Building,Sandbox,Singleplayer,Education,Space,Realistic,Science,Mars,Exploration,Sci-fi,Replay Value,Space Sim,Family Friendly,Difficult,Automation,Physics,Crafting,Management",Rover Mechanic Simulator,342,False,,False
"Several years after the events of Robot Female Hero 2, a group of tyranical invaders had arrived to try and take of the Milky way. Standing in their way is the cast from the first game. Once again this is a classic top-down RPG that seeks to recreate the games that dominated the 90's!",Rocket Tech,False,1389090,,N/A,$11.99 USD,Rocket Tech,"20 Nov, 2020","RPG,JRPG,Action RPG,Pixel Graphics,Story Rich,Singleplayer,Robots",Robot Female Hero 3,0,False,,False
"Are you a true platform player? Take up the challenge to beat this unforgiving game where your goal is to climb up to the top to wake up. A game where for every successful jump, the tension and stake rises with the fear of falling back to start. Can you do it?",Pham Studio,False,1410700,,100,$4.99 USD,Pham Studio,"12 Nov, 2020","Side Scroller,Precision Platformer,3D Platformer,Unforgiving,Difficult,Platformer,Third Person,3D,2.5D,Horror,Psychological Horror,Funny,Dark Humor,Narration,Action,Tactical,Philosophical,Atmospheric,Physics,Adventure",UpWakeNing,17,False,,False
"Welcome to the Jungle! Journey through the fantastic lands of Tarzan in a 3-part adventure created especially for virtual reality. Swing, swim, climb and fight your way across savage lands where the only limits are your own imagination.",Stonepunk Studios,False,1112100,,58,$19.99 USD,Stonepunk Studios,"17 Nov, 2020","VR,Simulation,6DOF,Fighting,Beat 'em up,Fantasy,Combat,Superhero,Episodic,Physics,First-Person,Immersive Sim,Action-Adventure,Indie,FPS,Singleplayer,Story Rich,3D,Action,Adventure",Tarzan VR™  The Trilogy Edition,36,True,,False
"epsilon wars is a turn based artillery game set in space. players must use the newtonian gravity of suns, planets, and blackholes to guide their torpedoes at enemy ships, space stations, and freighters. challenge yourself in single player and multiplayer (2-4 players).",Thomas Evenson,False,1380900,,N/A,$2.99 USD,Thomas Evenson,"12 Nov, 2020","Space Sim,Physics,Turn-Based Strategy,Minimalist,Colorful,Casual,Pixel Graphics,Simulation,Local Multiplayer,Strategy,2D,Wargame,Class-Based,Procedural Generation,Turn-Based Combat,Turn-Based Tactics,Singleplayer",epsilon wars,6,False,,False
Your ship crashed on the unknown planet BURA 0-5.1. This planet is not yet unknown to your race and who knows what awaits you here!,Enoops,False,1461000,,N/A,$0.99 USD,Enoops,"17 Nov, 2020","Action,Adventure,RPG,Arcade,Survival,Space Sim,Building,Base Building,2D Platformer,Side Scroller,Roguelite,2D,Pixel Graphics,Colorful,Atmospheric,Space,Loot,Sci-fi,Robots,Singleplayer",SPACE Craft,6,False,,False
Music-based aerial combat.,Double Uppercut Games,False,1431550,,N/A,Free To Play,Double Uppercut Games,"17 Nov, 2020","Casual,Action,Minimalist,Experimental,Atmospheric,Relaxing,PvP,Local Multiplayer,Indie,Multiplayer,Singleplayer,Music-Based Procedural Generation,Arcade,Rhythm,Shooter,Flight,Bullet Hell,Abstract,Third Person,Combat",Secure the Skies,7,False,,False
Do you have good memory? Observe the scene for a few seconds and memorize the position of the items. Avoid obstacles and collect all carrots.,ShortStackStudio,False,1431190,,100,$1.99 USD,ShortStackStudio,"17 Nov, 2020","Casual,Puzzle,Collectathon,Colorful,Cute,Top-Down,Family Friendly,Logic,Short,3D Vision,Grid-Based Movement,Singleplayer,Early Access,Hidden Object,Puzzle Platformer,Psychological Horror,Great Soundtrack,Education,Minigames,Stylized",Bunny's Trail,18,False,,False
"This is a light puzzle game of pretty girls, so help the girls solve their problems! Then you can interact with the pretty girls.",BambuseaeGames,False,1422610,,78,$0.99 USD,BambuseaeGames,"18 Nov, 2020","Mature,Sexual Content,Nudity,Casual,Puzzle,Anime,Clicker,Investigation,2D,JRPG,Cartoon,Hand-drawn,Indie,Hentai,Linear,Singleplayer,NSFW",Aurora,491,False,,False
"An adventurous point-and-click game with a funny plot. This thrilling game features over 3,000 hand-illustrated animation frames with cartoon cinematics.",Mehrdad Rezaei,False,1459930,,74,$0.99 USD,Mehrdad Rezaei,"18 Nov, 2020","Adventure,Point & Click,Hand-drawn,Cinematic,Cartoon,Inventory Management,Detective,Puzzle,2D,Action-Adventure,Indie,Satire,Logic,Narration,Linear,Singleplayer",Just Take Your Left,27,False,,False
"""Cinema Simulator"" is a simulation video game, here you can experience watching movies in the cinema! What do you want to see!",Woodpecker,False,1453250,,84,$1.00 USD,Woodpecker,"18 Nov, 2020","Casual,Simulation,Walking Simulator,Experimental,Immersive Sim,3D,Relaxing,Indie,Artificial Intelligence,Singleplayer,Life Sim,Cinematic,Minimalist,Funny,Atmospheric,Automation,Conversation,Co-op,Online Co-Op,Multiplayer",Cinema Simulator,32,False,,False
"Divine Stone is a 2D platformer puzzle game in which you have to find answers to riddles that will definitely make you brainwash. In addition, time constraints and a variety of opponents will become an obstacle on your way.",Piece Of Voxel,False,1464200,,58,$0.99 USD,Piece Of Voxel,"18 Nov, 2020","Strategy,Puzzle,Experimental,Platformer,Stealth,RTS,Interactive Fiction,2D Platformer,Side Scroller,Puzzle Platformer,Spelling,Investigation,Real Time Tactics,Cartoony,Hand-drawn,Stylized,Atmospheric,Story Rich,Logic,Detective",Divine Stone,17,False,,False
"2107 AD, Hopi Desert, Arizona. A secret biotech weapons laboratory has suffered a containment breach. A dangerous biological weapon capable of modifying machinery at its will has escaped. It wants to escape the facility and reach the surface. Stop it before it's too late.",ESAT,True,1440470,,62,Free,ESAT,"18 Nov, 2020","Action,Experimental,Shooter,FPS,Roguelike,Action Roguelike,First-Person,Roguelite,Underground,Sci-fi,Cyberpunk,Indie,Early Access,Futuristic,Robots,Procedural Generation,Artificial Intelligence,Singleplayer",Synthetic Hazard,35,False,,False
"Seditionis - Tower Defense is a sci-fi based infinite TD game with 190+ upgrades to make your gameplay, units, and towers more powerful. 4 tiers of towers in each line, with 20 upgrade levels each. An introductory story gives you a sense of what you're fighting for. After all, this galaxy needs you.",Dragonflare Studios,False,1452950,,N/A,$0.99 USD,Dragonflare Studios,"18 Nov, 2020","Casual,Strategy,Tower Defense,Auto Battler,Grand Strategy,Time Management,Wargame,2.5D,2D,3D,Isometric,Minimalist,Third Person,Top-Down,Management,Alternate History,America,Fantasy,Futuristic,Military",Seditionis: Tower Defense,2,False,,False
"Help Emma—the young artist from the 21st century—settle her troubles with Greek gods, prepare Hercules to the contest and save Megara!",Zoom Out Games,False,1402350,,56,$6.59 USD,Zoom Out Games,"18 Nov, 2020","Action,Adventure,Casual,Puzzle,Time Management,Cartoon,Cartoony,Colorful,Cute,Comic Book,Education,Management,Family Friendly,Resource Management,Strategy,Time Manipulation,Singleplayer",12 Labours of Hercules XI: Painted Adventure,16,False,,False
Get your weapons ready for the ultimate action game! Metal Commando combines the adrenaline of platform-style games with the action of 2d shooters. What are you waiting for? Start Metal Commando now and let the shooting begin,indiegames3000,False,1464730,,68,$1.99 USD,indiegames3000,"18 Nov, 2020","Singleplayer,2D,Action,Adventure,Casual,Indie,Platformer,Fighting",Metal Commando,48,False,,False
"Earth's last hope is in your hands, take control of the lone spaceship and protect Earth from alien swarms. Your goal will be quite challenging as you will have to save the Universe from its evil enemies.",indiegames3000,False,1450200,,N/A,$1.99 USD,indiegames3000,"18 Nov, 2020","Action,Sports,Strategy,Casual,Atmospheric,Exploration,Sci-fi,Indie,Space",Space Squadron,2,False,,False
"The forest was invaded by an army of robots! Use your skill to help Monkee, Donkee, Tinkee and Pinkee save the day. Metal Banana brings classic elements of arcade games in a new title full of action and colors.",Snow Run Games,False,1232900,,N/A,$0.89 USD,Snow Run Games,"18 Nov, 2020","Arcade,Puzzle,Action-Adventure,Cute,Top-Down,2D,Funny,Relaxing,Action,Casual,Colorful,Logic,Family Friendly,Score Attack,Nature,Robots,Cartoon,Retro,Grid-Based Movement,Singleplayer",Metal Banana,0,False,,False
"The Lost Shrine is an adventure, puzzle VR game. It will bring you back in the past by exploring a roman shrine, an inter-dimensional space and also the industrial age! Explore, solve the puzzles and continue! Your goal is to go through the multiple levels and escape!",Fox_Sebby,False,1462440,,N/A,$9.99 USD,Fox_Sebby,"18 Nov, 2020","Adventure,Puzzle,Exploration,Hidden Object,Puzzle Platformer,VR,3D,Mystery,Mythology,Singleplayer",The Lost Shrine - Escape Room,1,True,,False
"Big Cat Rescue VR offers a first-person view into the world of big cats. Starting with tigers, our goals is to offer a live, up close and personal encounter with these formidable felines.",Xennial Digital,False,1463380,,N/A,$4.99 USD,Xennial Digital,"26 Nov, 2020","Simulation,Exploration,Education,VR,Cats,Narration,Singleplayer",Big Cat Rescue VR,1,True,,False
"War Room is a realistic strategy, taking you straight into the heat of the war in Afghanistan.",Binge Gaming OU,False,1175880,$29.99,55,$11.99 USD,Binge Gaming OU,"17 Nov, 2020","Simulation,Strategy,RTS,Military,Action,Tactical,War,Real Time Tactics,Realistic,Singleplayer,Real-Time,Sandbox,Wargame,Grand Strategy,2D,3D,3D Vision,Resource Management,Base Building,Multiple Endings",War Room,625,False,,False
A dark fairy tale about the woods outside a small village and the monster that roams within them. Become Sage and play through to uncover the mystery when they're tossed away from everything they've ever known.,Fablesoft Studios,False,1462910,,N/A,$9.99 USD,Fablesoft Studios,"30 Oct, 2020","Visual Novel,Dark Fantasy,Choose Your Own Adventure,Multiple Endings,Horror,Adventure,Dark,Fantasy,Casual,LGBTQ+,Interactive Fiction,2D,RPG,Text-Based,Stylized,Atmospheric,Mystery,Romance,Story Rich,Singleplayer",Twisted: A Dark Fairytale,9,False,,False
"Play as a young teacher with a mission: bringing your new school back to the top! Motivate your pupils, improve their results and organize school contests and festivals.",Magic Pockets,False,1238180,,73,$14.99 USD,Magic Pockets,"18 Nov, 2020","Casual,Simulation,Life Sim,Singleplayer,Management,Character Customization,Colorful,Cute,Education,3D,Third Person",My Universe - School Teacher,19,False,,False
"Brain Break is a minimalistic but not simple puzzle game. The object of the game is to move all the cubes to their positions of their color. It's not as easy as it sounds! The player can push one cube at a time, but not pull it.",Astralis Games,False,1459360,,77,$0.89 USD,Astralis Games,"18 Nov, 2020","Sokoban,Turn-Based Tactics,2D Platformer,3D Platformer,Puzzle Platformer,Puzzle,3D,Top-Down,Relaxing,Linear,Casual,Minimalist,Colorful,Family Friendly,Logic,Tactical,Physics,Singleplayer,Indie,Short",Brain Break,133,False,,False
Spinning and parkour platformer!,FreeAnimals_Software,False,1447070,,100,$0.99 USD,FreeAnimals_Software,"18 Nov, 2020","Adventure,Puzzle,Casual,Arcade,Platformer,2D Platformer,Side Scroller,Puzzle Platformer,Precision Platformer,2D,Cute,Minimalist,1980s,1990's,Atmospheric,Family Friendly,Logic,Old School,Retro,Linear",Spinning_Kid_2,15,False,,False
Our planet was sucked into the Blackhole 300 years ago and miraculously came out the other side. It appears to be the same Earth we loved and thrived on... or is it? In this survival game you will go through the ranks starting at Monsterlehrling up to being a Monstermörder.,IGS Team,True,1456250,,N/A,$4.99 USD,IGS Team,"18 Nov, 2020","Action,Survival,Horror,Third Person,Post-apocalyptic,Team-Based,Singleplayer,Early Access,Nudity,Gore,Violent,Indie,Action-Adventure,Open World,Shoot 'Em Up,Sexual Content,Strategy,Shooter,Multiplayer,Online Co-Op",Monstermoerder,2,False,,False
"Daikaiju Daikessen: Versus is a free to play arcade-style brawler inspired by the likes of classic Neo Geo’s King of the Monsters. The game will be regularly updated with new characters from various indie creators, along with new stages and game modes.",One Secret Pseudo,True,1420580,,63,Free To Play,One Secret Pseudo,"18 Nov, 2020","Action,Arcade,2D Fighter,Beat 'em up,2D,Free to Play,Anime,Early Access,Combat,Indie,Multiple Endings,Story Rich,Singleplayer",Daikaiju Daikessen: Versus,129,False,,False
"Gael's Quest is a retro JRPG in a medieval setting. Fight monsters, do quests, explore, buy equipment and potions, level up and go on an adventure in order to discover what happened to your grandfather!",Louka Lemire,False,1450780,,N/A,$1.99 USD,Louka Lemire,"18 Nov, 2020","RPG,JRPG,2D,Turn-Based Combat,Pixel Graphics,Fantasy,Medieval,Singleplayer,Indie,Turn-Based Strategy",Gael's Quest,4,False,,False
"Bring Back The Sun is a short and challenging 2D Platformer. The goal is obvious - bring back the sun! No enemies, no spikes, just jumping above the bottomless pit.",Daniel da Silva,False,1437210,,N/A,$1.99 USD,Daniel da Silva,"18 Nov, 2020","Side Scroller,2D Platformer,Platformer,Silent Protagonist,Action,Controller,Minimalist,Linear,2D,Retro,Atmospheric,Short,Adventure,Singleplayer,Indie",Bring Back The Sun by Daniel da Silva,3,False,,False
"CATch the Stars is a minimalist puzzle with a pleasant and original soundtrack. Click on the right star, solve the puzzles and form constellations with a beautiful and relaxing environment. No score, no timer and no pressure.",Pinel Games,False,1420540,,98,$1.49 USD,Pinel Games,"18 Nov, 2020","Cats,Cute,Relaxing,Puzzle,Casual,Stylized,Mouse only,Minimalist,Touch-Friendly,Logic,Point & Click,Difficult,Family Friendly,Atmospheric,Adventure,Cartoony,Colorful,Hand-drawn,Singleplayer,2D",CATch the Stars,331,False,,False
"The airship once belonged to the ""City of Tomorrow"" of mankind, indeed. This not only reproduces the era of airship dominance, the short-lived glory, but also allows us to remember the great contingency of history again.",William at Oxford,False,1459640,,N/A,$9.99 USD,William at Oxford,"14 Nov, 2020","Casual,First-Person,VR,Relaxing,Singleplayer",VR Zeppelin Airship Trips: Flying hotel experiences in VR,9,True,,False
"The psychological horror Distorted, plays inside the head of Morgan Tyler, a mentally ill man, whose vision had been corrupted.",Spinning Clocks Games,False,1460100,,N/A,$3.99 USD,Spinning Clocks Games,"14 Nov, 2020","Indie,Horror,Dark,Singleplayer,Puzzle,Walking Simulator,Demons,3D,Simulation,Runner,3D Vision",Distorted,0,False,,False
"RollerBaller is a racer against the clock. Stay on the path or suffer the consequences and get back to your last checkpoint! Rather infuriating title, it will boil your blood and should only be played by the most patient.",RedKar Devs,False,1431100,,82,Free To Play,RedKar Devs,"14 Nov, 2020","Action,Casual,Racing,Arcade,Exploration,3D Platformer,Collectathon,Precision Platformer,Runner,3D,Colorful,Stylized,Atmospheric,Comic Book,Family Friendly,Funny,Relaxing,Driving,Physics,Singleplayer",RollerBaller,52,False,,False
"BEETLES is a first - person strategy shooter. In the game you will find the extraction of a resource that you can exchange for weapons, machine guns, rocket launchers and even a tactical nuclear bomb. And all this fun under an endless stream of bugs. The game also features achievements and a leaderboard.",SEKTOR GAMES,True,1116100,,92,$2.99 USD,SEKTOR GAMES,"14 Nov, 2020","Early Access,Adventure,Strategy,Simulation,Space Sim,Shooter,Action,Survival,Action-Adventure,Rhythm,Looter Shooter,On-Rails Shooter,Bullet Hell,Real Time Tactics,FPS,First-Person,Colorful,Atmospheric,Futuristic,Military",BEETLES,13,False,,False
Biosys Inc. is a biology simulator that takes you to a new planet where you will be responsible for the process of abiogenesis. Start with a single cell and watch your ecosystem thrive by itself. All cells carry DNA that will allow them to mutate and evolve into complex beings.,Fire Game Studios,True,486410,,N/A,$3.99 USD,Fire Game Studios,"21 Dec, 2021","Indie,Simulation,Adventure,RPG,Building,Exploration,Management,God Game,Colony Sim,Immersive Sim,3D,Atmospheric,Education,Relaxing,Crafting,Procedural Generation,Resource Management,Singleplayer,Early Access",Biosys Inc,6,False,,False
"Earth is under attack and the ""Nazdu"" are devouring everyone they can get their hands on. Mike isn't the hero anyone asked for, but he's the one you got. He's hiding in a hole, in his basement, and wants to see this through and survive, so he can go get some fried chicken.",Button Bash Games,False,1460910,,N/A,$2.99 USD,Button Bash Games,"15 Nov, 2020","Difficult,Platformer,Stealth,Cartoony,Dark Humor,Singleplayer,Cartoon,Satire,2D Platformer,Action,Survival Horror,Colorful,Dark,Strategy,Underground,Survival,Dark Comedy,Old School,Zombies,Funny",Flippen Run Mike,1,False,,False
"Become the legendary assasin in the Space. Play single-player across large exotic maps. Think tactical, be quick against the time and enjoy the long distance headshots!",Seito Games,False,1426990,,69,$0.99 USD,Seito Games,"15 Nov, 2020","Action,Casual,Adventure,Nudity,Experimental,Sexual Content,Indie,Strategy,Arcade,Anime,3D,3D Platformer,Gore,Sports,Hentai,Shooter,Singleplayer,Futuristic,Space,Memes",Anime - Space Sniper,23,False,,False
"Enter the doomed world of Astria, a land destroyed by Cataclysm where all living things are dying. Play as Gwen, an Astrian willing to make his last move before everything ends.",Rémi Adriano,False,1424520,,85,Free To Play,Rémi Adriano,"15 Nov, 2020","3D Platformer,Platformer,Action-Adventure,3D,First-Person,Relaxing,Action,Puzzle,Free to Play,Fantasy,Logic,Physics,Adventure,Singleplayer,Indie,Realistic,Nonlinear",Astria,96,False,,False
